Date,Rank,Streams,Singer,Song Title,feat,Extras,Christmas
2019-11-11,31,"167,578",Camila Cabello,Liar,,,N
2019-11-11,32,"164,067","Kygo, Whitney Houston",Higher Love,,,N
2019-11-11,33,"158,564",Lizzo,Good As Hell,Feat. Ariana Grande,- Remix,N
2019-11-11,34,"151,950",Ti&Euml;Sto,God Is A Dancer,With Mabel,,N
2019-11-11,35,"151,270",Sam Smith,How Do You Sleep?,,,N
2019-11-11,36,"150,089",Ed Sheeran,Beautiful People,Feat. Khalid,,N
2019-11-11,37,"150,065",Headie One,Both,,,N
2019-11-11,38,"143,596",Dominic Fike,3 Nights,,,N
2019-11-11,39,"139,208",Jax Jones,This Is Real,Ft. Ella Henderson,,N
2019-11-11,40,"138,471",Poundz,Opp Thot,,,N
2019-11-11,41,"137,185","Lauv, Anne-marie","Fuck, I'm Lonely",,,N
2019-11-11,42,"136,764","Shawn Mendes, Camila Cabello",Se&Ntilde;Orita,,,N
2019-11-11,43,"136,598",Dave,Location,Feat. Burna Boy,,N
2019-11-11,44,"133,509",Sam Feldt,Post Malone,Feat. Rani,,N
2019-11-11,45,"129,069",Ed Sheeran,I Don't Care,With Justin Bieber,,N
2019-11-11,46,"127,879",Lil Tecca,Ransom,,,N
2019-11-11,47,"126,845","Darkoo, One Acen",Gangsta,,,N
2019-11-11,48,"121,814",Ed Sheeran,Take Me Back To London,Feat. Stormzy,,N
2019-11-11,49,"120,614",Billie Eilish,Bad Guy,,,N
2019-11-11,50,"120,263",Dan + Shay,"10,000 Hours",With Justin Bieber,,N
2019-11-11,51,"116,232",Mist,So High,Feat. Fredo,,N
2019-11-11,52,"112,198","Krept Konan, D-block Europe, Ling Hussle",Tell Me,,,N
2019-11-11,53,"109,306",Selena Gomez,Look At Her Now,,,N
2019-11-11,54,"104,288",Stormzy,Vossi Bop,,,N
2019-11-11,55,"103,771",Aj Tracey,Floss,Feat. Mostack & Not3s,,N
2019-11-11,56,"103,357","Aj Tracey, Skepta",Kiss And Tell,,,N
2019-11-11,57,"103,029","M Huncho, Nafe Smallz",Thumb,,,N
2019-11-11,58,"100,279",Lewis Capaldi,Hold Me While You Wait,,,N
2019-11-11,59,"99,394",Endor,Pump It Up,,,N
2019-11-11,60,"98,504",Juice Wrld,Bandit,With Youngboy Never Broke Again,,N
2019-11-11,61,"98,048","Post Malone, Swae Lee",Sunflower - Spider-man: Into The Spider-verse,,,N
2019-11-11,62,"96,999",Halsey,Graveyard,,,N
2019-11-11,63,"95,442",Shaed,Trampoline,With Zayn,,N
2019-11-11,64,"92,921",Post Malone,Goodbyes,Feat. Young Thug,,N
2019-11-11,65,"92,327",Lizzo,Truth Hurts,,,N
2019-11-11,66,"88,502",Coldplay,Orphans,,,N
2019-11-11,67,"86,535",Mariah Carey,All I Want For Christmas Is You,,,Y
2019-11-11,68,"85,599","Sigala, Ella Henderson",We Got Love,,,N
2019-11-11,69,"85,297","Krept Konan, Wizkid",G Love,,,N
2019-11-11,70,"84,093","Dave, Aj Tracey",Thiago Silva,,,N
2019-11-11,71,"83,948",Chris Brown,No Guidance,Feat. Drake,,N
2019-11-11,72,"83,532","Russ Millions, Tion Wayne, Aitch, Swarmz, Sav'o, Jay1",Keisha & Becky - Remix,,,N
2019-11-11,73,"82,764",The Script,The Last Time,,,N
2019-11-11,74,"82,599","Meduza, Goodboys",Piece Of Your Heart,,,N
2019-11-11,75,"81,588",Nsg,Trust Issues,,,N
2019-11-11,76,"81,450",Normani,Motivation,,,N
2019-11-11,77,"81,050",Ant Saunders,Yellow Hearts,,,N
2019-11-11,78,"80,314",Lil Tjay,F.N,,,N
2019-11-11,79,"78,316",Post Malone,Take What You Want,Feat. Ozzy Osbourne & Travis Scott,,N
2019-11-11,80,"78,037","Y2k, Bbno$",Lalala,,,N
2019-11-11,81,"76,510",Ariana Grande,Bad To You,With Normani & Nicki Minaj,,N
2019-11-11,82,"76,032",Lil Nas X,Panini,,,N
2019-11-11,83,"75,836",The Killers,Mr. Brightside,,,N
2019-11-11,84,"75,710",Raye,Love Me Again,With Jess Glynne,,N
2019-11-11,85,"75,220",Lizzo,Good As Hell,,,N
2019-11-11,86,"74,808",D-block Europe,Home P*Ssy,,,N
2019-11-11,87,"73,859",Young Thug,Hot,Remix,[Feat. Gunna And Travis Scott],N
2019-11-11,88,"73,610",Tory Lanez,Jerry Sprunger,With T-pain,,N
2019-11-11,89,"73,426",Summer Walker,Playing Games,With Bryson Tiller,- Extended Version,N
2019-11-11,90,"73,095","Lady Gaga, Bradley Cooper",Shallow,,,N
2019-11-11,91,"72,818",Lil Mosey,Stuck In A Dream,Feat. Gunna,,N
2019-11-11,92,"72,080",Ynw Melly,223's,Feat. 9lokknine,,N
2019-11-11,93,"71,932",Tom Walker,Better Half Of Me,,,N
2019-11-11,94,"71,596",Drake,Money In The Grave,Drake Ft. Rick Ross,,N
2019-11-11,95,"71,231",Steel Banglez,Fashion Week,Feat. Aj Tracey & Mostack,,N
2019-11-11,96,"70,604",Stormzy,Wiley Flow,,,N
2019-11-11,97,"70,518",Wham!,Last Christmas,,,Y
2019-11-11,98,"69,552","Dave, Fredo",Funky Friday,,,N
2019-11-11,99,"69,418","Nsg, Tion Wayne",Options,,,N
2019-11-11,100,"66,226",Lewis Capaldi,Grace,,,N
2019-11-11,101,"65,595","Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,,,N
2019-11-11,102,"64,741","Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,,,N
2019-11-11,103,"63,044",Lil Baby,Woah,,,N
2019-11-11,104,"62,845",Ariana Grande,Don't Call Me Angel,Charlie's Angels,(With Miley Cyrus & Lana Del Rey),N
2019-11-11,105,"62,825",Ava Max,Sweet But Psycho,,,N
2019-11-11,106,"62,450",Post Malone,Wow.,,,N
2019-11-11,107,"61,286",Benny Blanco,Eastside,With Halsey & Khalid,,N
2019-11-11,108,"60,417",Mabel,Mad Love,,,N
2019-11-11,109,"60,301",George Ezra,Shotgun,,,N
2019-11-11,110,"60,282",Mabel,Don't Call Me Up,,,N
2019-11-11,111,"59,830",Billie Eilish,When The Party's Over,,,N
2019-11-11,112,"59,340","Hardy Caprio, Digdat",Guten Tag,,,N
2019-11-11,113,"59,129",Freya Ridings,Castles,,,N
2019-11-11,114,"59,027",James Arthur,Say You Won't Let Go,,,N
2019-11-11,115,"58,993",Aj Tracey,Butterflies,Feat. Not3s,,N
2019-11-11,116,"58,639",Young Thug,The London,Feat. J. Cole & Travis Scott,,N
2019-11-11,117,"58,385",Queen,Bohemian Rhapsody - Remastered 2011,,,N
2019-11-11,118,"57,789",Zedd,Good Thing,With Kehlani,,N
2019-11-11,119,"56,846","Internet Money, Lil Tecca, A Boogie Wit Da Hoodie",Somebody,,,N
2019-11-11,120,"56,567",Ariana Grande,Boyfriend,With Social House,,N
2019-11-11,121,"56,383",Travis Scott,Sicko Mode,,,N
2019-11-11,122,"55,714",Jonas Brothers,Sucker,,,N
2019-11-11,123,"55,595",Juice Wrld,Lucid Dreams,,,N
2019-11-11,124,"55,563",Billie Eilish,Lovely,With Khalid,,N
2019-11-11,125,"55,505",Jax Jones,Harder,With Bebe Rexha,,N
2019-11-11,126,"55,473",Tom Walker,Just You And I,,,N
2019-11-11,127,"55,063",Jay1,Mocking It,,,N
2019-11-11,128,"55,018",Sam Smith,I Feel Love,,,N
2019-11-11,129,"54,940",Drake,Behind Barz - Bonus,,,N
2019-11-11,130,"54,793",Oasis,Wonderwall - Remastered,,,N
2019-11-11,131,"54,729","Marshmello, Bastille",Happier,,,N
2019-11-11,132,"54,568",Dave,Disaster,Feat. J Hus,,N
2019-11-11,133,"54,420",Ariana Grande,7 Rings,,,N
2019-11-11,134,"54,315",Bts,Make It Right,Feat. Lauv,,N
2019-11-11,135,"54,284",Lil Tecca,Love Me,,,N
2019-11-11,136,"54,067",Post Malone,Hollywood's Bleeding,,,N
2019-11-11,137,"53,817",Ariana Grande,Santa Tell Me,,,Y
2019-11-11,138,"53,665",Post Malone,Saint-tropez,,,N
2019-11-11,139,"53,472",Ali Gatie,It's You,,,N
2019-11-11,140,"53,329",Katy Perry,Harleys In Hawaii,,,N
2019-11-11,141,"53,256","D-block Europe, Lil Baby",Nookie,,,N
2019-11-11,142,"52,915","Sigala, Becky Hill",Wish You Well,,,N
2019-11-11,143,"52,902",Ellie Goulding,Hate Me,With Juice Wrld,,N
2019-11-11,144,"52,842","Diplo, Jonas Brothers",Lonely,,,N
2019-11-11,145,"52,816",Tame Impala,The Less I Know The Better,,,N
2019-11-11,146,"52,802",Tion Wayne,2 On 2 - Tion Wayne X Jay1,,,N
2019-11-11,147,"52,727",James Arthur,Quite Miss Home,,,N
2019-11-11,148,"52,509","Bring Me The Horizon, Death Stranding: Timefall",Ludens,,,N
2019-11-11,149,"52,491",Post Malone,Rockstar,Feat. 21 Savage,,N
2019-11-11,150,"52,405",Ariana Grande,"Thank U, Next",,,N
2019-11-11,151,"52,228",Dean Lewis,Be Alright,,,N
2019-11-11,152,"52,162",Noah Cyrus,July,,,N
2019-11-11,153,"51,434",Anne-marie,2002,,,N
2019-11-11,154,"51,407",Summer Walker,Come Thru,With Usher,,N
2019-11-11,155,"50,679",Ed Sheeran,Cross Me,Feat. Chance The Rapper & Pnb Rock,,N
2019-11-11,156,"49,988",Vance Joy,Riptide,,,N
2019-11-11,157,"49,914",Katy Perry,Never Really Over,,,N
2019-11-11,158,"49,770",Gerry Cinnamon,Belter,,,N
2019-11-11,159,"49,493",D-block Europe,Kitchen Kings,,,N
2019-11-11,160,"49,404","Cadet, Deno",Advice,,,N
2019-11-11,161,"49,393",A Boogie Wit Da Hoodie,Swervin,Feat. 6ix9ine,,N
2019-11-11,162,"49,235",Gerry Cinnamon,Sometimes,,,N
2019-11-11,163,"49,173",D-block Europe,Outside,,,N
2019-11-11,164,"49,082",Doja Cat,Candy,,,N
2019-11-11,165,"49,032",Stay Flee Get Lizzy,2 Cups,"Feat. Popcaan, Fredo & Tory Lanez",,N
2019-11-11,166,"48,935",Post Malone,Better Now,,,N
2019-11-11,167,"48,838",Panic! At The Disco,High Hopes,,,N
2019-11-11,168,"48,788",Queen,Don't Stop Me Now - Remastered 2011,,,N
2019-11-11,169,"48,786",Shawn Mendes,If I Can't Have You,,,N
2019-11-11,170,"48,656",Martin Garrix,Used To Love,With Dean Lewis,,N
2019-11-11,171,"48,271",Taylor Swift,You Need To Calm Down,,,N
2019-11-11,172,"47,995",Stormzy,Crown,,,N
2019-11-11,173,"47,808",Becky Hill,I Could Get Used To This,With Weiss,,N
2019-11-11,174,"47,595",Gerry Cinnamon,Canter,,,N
2019-11-11,175,"47,531","Ti&Euml;Sto, Jonas Blue, Rita Ora",Ritual,,,N
2019-11-11,176,"47,463",Ed Sheeran,Shape Of You,,,N
2019-11-11,177,"47,230","Hardy Caprio, One Acen",Best Life,,,N
2019-11-11,178,"47,220",Lizzo,Juice,,,N
2019-11-11,179,"47,147",Frank Ocean,Chanel,,,N
2019-11-11,180,"47,145","Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night,,,N
2019-11-11,181,"47,122",Calum Scott,Dancing On My Own,,,N
2019-11-11,182,"46,921",Journey,Don't Stop Believin',,,N
2019-11-11,183,"46,571",Sam Smith,Dancing With A Stranger,With Normani,,N
2019-11-11,184,"46,557",Jonas Blue,What I Like About You,Feat. Theresa Rex,,N
2019-11-11,185,"46,545","The Chainsmokers, Illenium",Takeaway,Feat. Lennon Stella,,N
2019-11-11,186,"46,523",Ed Sheeran,Perfect,,,N
2019-11-11,187,"46,361",Sam Fender,Hypersonic Missiles,,,N
2019-11-11,188,"46,269",Toploader,Dancing In The Moonlight,,,N
2019-11-11,189,"46,187",Post Malone,I Fall Apart,,,N
2019-11-11,190,"46,067",Fleetwood Mac,Everywhere - 2017 Remaster,,,N
2019-11-11,191,"45,943",Ed Sheeran,Take Me Back To London,Remix,"[Feat. Stormzy, Jaykae & Aitch]",N
2019-11-11,192,"45,892",Ynw Melly,Murder On My Mind,,,N
2019-11-11,193,"45,838",Imagine Dragons,Believer,,,N
2019-11-11,194,"45,821",Oasis,Don't Look Back In Anger - Remastered,,,N
2019-11-11,195,"45,770","Mura Masa, Slowthai",Deal Wiv It,,,N
2019-11-11,196,"45,538",Taylor Swift,Lover,,,N
2019-11-11,197,"45,508",Snow Patrol,Chasing Cars,,,N
2019-11-11,198,"45,429",Bazzi,I.F.L.Y.,,,N
2019-11-11,199,"45,265",Elton John,Rocket Man,"I Think It's Going To Be A Long, Long Time",,N
2019-11-11,200,"45,090",Toto,Africa,,,N
2019-11-12,1,"600,227",Tones And I,Dance Monkey,,,N
2019-11-12,2,"436,850",Dua Lipa,Don't Start Now,,,N
2019-11-12,3,"334,719",Regard,Ride It,,,N
2019-11-12,4,"303,838",Post Malone,Circles,,,N
2019-11-12,5,"289,720",Ed Sheeran,South Of The Border,Feat. Camila Cabello & Cardi B,,N
2019-11-12,6,"271,158",J Hus,Must Be,,,N
2019-11-12,7,"262,879",Ksi,Down Like That,"Feat. Rick Ross, Lil Baby & S-x",,N
2019-11-12,8,"257,006",Lewis Capaldi,Someone You Loved,,,N
2019-11-12,9,"255,507","Meduza, Becky Hill, Goodboys",Lose Control,,,N
2019-11-12,10,"248,215",Selena Gomez,Lose You To Love Me,,,N
2019-11-12,11,"239,345",Blackbear,Hot Girl Bummer,,,N
2019-11-12,12,"239,134",Maroon 5,Memories,,,N
2019-11-12,13,"236,982",Arizona Zervas,Roxanne,,,N
2019-11-12,14,"233,650","Riton, Oliver Heldens",Turn Me On,Feat. Vula,,N
2019-11-12,15,"233,550",Travis Scott,Highest In The Room,,,N
2019-11-12,16,"227,610",Harry Styles,Lights Up,,,N
2019-11-12,17,"220,850",Dave,Professor X,,,N
2019-11-12,18,"213,901",Fredo,Netflix & Chill,,,N
2019-11-12,19,"206,066",Dermot Kennedy,Outnumbered,,,N
2019-11-12,20,"203,876",Lewis Capaldi,Bruises,,,N
2019-11-12,21,"202,524",Aitch,Buss Down,Feat. Ziezie,,N
2019-11-12,22,"202,350",Dave,Paper Cuts,,,N
2019-11-12,23,"198,906","Jorja Smith, Burna Boy",Be Honest,,,N
2019-11-12,24,"192,813",Kanye West,Follow God,,,N
2019-11-12,25,"182,890",Aj Tracey,Ladbroke Grove,,,N
2019-11-12,26,"180,413",Aitch,Taste,Make It Shake,,N
2019-11-12,27,"179,444",Niall Horan,Nice To Meet Ya,,,N
2019-11-12,28,"178,142",Joel Corry,Sorry,,,N
2019-11-12,29,"171,611",Young T Bugsey,Don't Rush,Feat. Headie One,,N
2019-11-12,30,"171,098",Young T Bugsey,Strike A Pose,Feat. Aitch,,N
2019-11-12,31,"170,673",Camila Cabello,Liar,,,N
2019-11-12,32,"170,183",Lizzo,Good As Hell,Feat. Ariana Grande,- Remix,N
2019-11-12,33,"168,303","Kygo, Whitney Houston",Higher Love,,,N
2019-11-12,34,"159,065",Ti&Euml;Sto,God Is A Dancer,With Mabel,,N
2019-11-12,35,"154,910",Ed Sheeran,Beautiful People,Feat. Khalid,,N
2019-11-12,36,"152,533",Headie One,Both,,,N
2019-11-12,37,"144,737",Jax Jones,This Is Real,Ft. Ella Henderson,,N
2019-11-12,38,"143,144",Dominic Fike,3 Nights,,,N
2019-11-12,39,"141,728","Lauv, Anne-marie","Fuck, I'm Lonely",,,N
2019-11-12,40,"140,813",Poundz,Opp Thot,,,N
2019-11-12,41,"140,699",Dave,Location,Feat. Burna Boy,,N
2019-11-12,42,"140,156","Shawn Mendes, Camila Cabello",Se&Ntilde;Orita,,,N
2019-11-12,43,"135,255",Sam Feldt,Post Malone,Feat. Rani,,N
2019-11-12,44,"133,600",Ed Sheeran,I Don't Care,With Justin Bieber,,N
2019-11-12,45,"130,790",Lil Tecca,Ransom,,,N
2019-11-12,46,"128,201","Darkoo, One Acen",Gangsta,,,N
2019-11-12,47,"126,740",Sam Smith,How Do You Sleep?,,,N
2019-11-12,48,"126,227",Ed Sheeran,Take Me Back To London,Feat. Stormzy,,N
2019-11-12,49,"123,686",Billie Eilish,Bad Guy,,,N
2019-11-12,50,"122,952",Dan + Shay,"10,000 Hours",With Justin Bieber,,N
2019-11-12,51,"118,604",Mist,So High,Feat. Fredo,,N
2019-11-12,52,"108,706",Stormzy,Vossi Bop,,,N
2019-11-12,53,"108,306",Selena Gomez,Look At Her Now,,,N
2019-11-12,54,"107,716","Krept Konan, D-block Europe, Ling Hussle",Tell Me,,,N
2019-11-12,55,"103,546",Lewis Capaldi,Hold Me While You Wait,,,N
2019-11-12,56,"103,009",Aj Tracey,Floss,Feat. Mostack & Not3s,,N
2019-11-12,57,"100,313",Juice Wrld,Bandit,With Youngboy Never Broke Again,,N
2019-11-12,58,"99,980",Endor,Pump It Up,,,N
2019-11-12,59,"99,939","Post Malone, Swae Lee",Sunflower - Spider-man: Into The Spider-verse,,,N
2019-11-12,60,"99,321","M Huncho, Nafe Smallz",Thumb,,,N
2019-11-12,61,"99,095",Halsey,Graveyard,,,N
2019-11-12,62,"98,602","Aj Tracey, Skepta",Kiss And Tell,,,N
2019-11-12,63,"96,361",Shaed,Trampoline,With Zayn,,N
2019-11-12,64,"94,223",Post Malone,Goodbyes,Feat. Young Thug,,N
2019-11-12,65,"94,198",Lizzo,Truth Hurts,,,N
2019-11-12,66,"93,845","Sigala, Ella Henderson",We Got Love,,,N
2019-11-12,67,"92,457",Mariah Carey,All I Want For Christmas Is You,,,Y
2019-11-12,68,"91,111",Coldplay,Orphans,,,N
2019-11-12,69,"87,750","Dave, Aj Tracey",Thiago Silva,,,N
2019-11-12,70,"87,170","Russ Millions, Tion Wayne, Aitch, Swarmz, Sav'o, Jay1",Keisha & Becky - Remix,,,N
2019-11-12,71,"86,895",Chris Brown,No Guidance,Feat. Drake,,N
2019-11-12,72,"85,641",Tom Walker,Better Half Of Me,,,N
2019-11-12,73,"83,392","Krept Konan, Wizkid",G Love,,,N
2019-11-12,74,"83,262","Meduza, Goodboys",Piece Of Your Heart,,,N
2019-11-12,75,"82,216",Normani,Motivation,,,N
2019-11-12,76,"81,146",Nsg,Trust Issues,,,N
2019-11-12,77,"80,598",Ant Saunders,Yellow Hearts,,,N
2019-11-12,78,"79,720",Lil Tjay,F.N,,,N
2019-11-12,79,"79,392",The Killers,Mr. Brightside,,,N
2019-11-12,80,"79,221",Post Malone,Take What You Want,Feat. Ozzy Osbourne & Travis Scott,,N
2019-11-12,81,"79,002",Raye,Love Me Again,With Jess Glynne,,N
2019-11-12,82,"78,951","Y2k, Bbno$",Lalala,,,N
2019-11-12,83,"77,543",D-block Europe,Home P*Ssy,,,N
2019-11-12,84,"77,532",Lil Nas X,Panini,,,N
2019-11-12,85,"77,251",Tory Lanez,Jerry Sprunger,With T-pain,,N
2019-11-12,86,"77,156",The Script,The Last Time,,,N
2019-11-12,87,"76,062",Ariana Grande,Bad To You,With Normani & Nicki Minaj,,N
2019-11-12,88,"75,938",Wham!,Last Christmas,,,Y
2019-11-12,89,"75,670","Lady Gaga, Bradley Cooper",Shallow,,,N
2019-11-12,90,"74,280",Drake,Money In The Grave,Drake Ft. Rick Ross,,N
2019-11-12,91,"74,077",Summer Walker,Playing Games,With Bryson Tiller,- Extended Version,N
2019-11-12,92,"73,817",Lil Mosey,Stuck In A Dream,Feat. Gunna,,N
2019-11-12,93,"73,810",Lizzo,Good As Hell,,,N
2019-11-12,94,"72,859","Dave, Fredo",Funky Friday,,,N
2019-11-12,95,"72,520",Young Thug,Hot,Remix,[Feat. Gunna And Travis Scott],N
2019-11-12,96,"71,795",Ynw Melly,223's,Feat. 9lokknine,,N
2019-11-12,97,"71,494",Stormzy,Wiley Flow,,,N
2019-11-12,98,"71,396","Nsg, Tion Wayne",Options,,,N
2019-11-12,99,"71,347",Steel Banglez,Fashion Week,Feat. Aj Tracey & Mostack,,N
2019-11-12,100,"68,864",Lewis Capaldi,Grace,,,N
2019-11-12,101,"67,119","Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,,,N
2019-11-12,102,"65,424",Ava Max,Sweet But Psycho,,,N
2019-11-12,103,"65,146",Sam Smith,I Feel Love,,,N
2019-11-12,104,"64,970","Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,,,N
2019-11-12,105,"63,753",Post Malone,Wow.,,,N
2019-11-12,106,"63,318",Ariana Grande,Don't Call Me Angel,Charlie's Angels,(With Miley Cyrus & Lana Del Rey),N
2019-11-12,107,"63,228",Benny Blanco,Eastside,With Halsey & Khalid,,N
2019-11-12,108,"63,200",George Ezra,Shotgun,,,N
2019-11-12,109,"62,398",Freya Ridings,Castles,,,N
2019-11-12,110,"62,255",Lil Baby,Woah,,,N
2019-11-12,111,"62,148",Mabel,Mad Love,,,N
2019-11-12,112,"61,565",Mabel,Don't Call Me Up,,,N
2019-11-12,113,"60,972","Hardy Caprio, Digdat",Guten Tag,,,N
2019-11-12,114,"60,858",Billie Eilish,When The Party's Over,,,N
2019-11-12,115,"60,755",James Arthur,Say You Won't Let Go,,,N
2019-11-12,116,"60,433",Queen,Bohemian Rhapsody - Remastered 2011,,,N
2019-11-12,117,"60,314",Aj Tracey,Butterflies,Feat. Not3s,,N
2019-11-12,118,"60,065",Young Thug,The London,Feat. J. Cole & Travis Scott,,N
2019-11-12,119,"59,610",Oasis,Wonderwall - Remastered,,,N
2019-11-12,120,"58,531",Zedd,Good Thing,With Kehlani,,N
2019-11-12,121,"58,122",Travis Scott,Sicko Mode,,,N
2019-11-12,122,"57,572",Tom Walker,Just You And I,,,N
2019-11-12,123,"57,281",Ariana Grande,Boyfriend,With Social House,,N
2019-11-12,124,"57,177",Billie Eilish,Lovely,With Khalid,,N
2019-11-12,125,"56,907",Dave,Disaster,Feat. J Hus,,N
2019-11-12,126,"56,780",Juice Wrld,Lucid Dreams,,,N
2019-11-12,127,"56,736",Ariana Grande,7 Rings,,,N
2019-11-12,128,"56,617",Jax Jones,Harder,With Bebe Rexha,,N
2019-11-12,129,"56,135",Jay1,Mocking It,,,N
2019-11-12,130,"55,936",Lil Tecca,Love Me,,,N
2019-11-12,131,"55,522",Ariana Grande,Santa Tell Me,,,Y
2019-11-12,132,"55,517",Ellie Goulding,Hate Me,With Juice Wrld,,N
2019-11-12,133,"55,456",Jonas Brothers,Sucker,,,N
2019-11-12,134,"55,434","Marshmello, Bastille",Happier,,,N
2019-11-12,135,"55,325",Drake,Behind Barz - Bonus,,,N
2019-11-12,136,"55,110",Ariana Grande,"Thank U, Next",,,N
2019-11-12,137,"54,866","Bring Me The Horizon, Death Stranding: Timefall",Ludens,,,N
2019-11-12,138,"54,645",Ali Gatie,It's You,,,N
2019-11-12,139,"54,567",Post Malone,Rockstar,Feat. 21 Savage,,N
2019-11-12,140,"54,563","Sigala, Becky Hill",Wish You Well,,,N
2019-11-12,141,"54,447",Post Malone,Hollywood's Bleeding,,,N
2019-11-12,142,"54,072",Bts,Make It Right,Feat. Lauv,,N
2019-11-12,143,"54,009",Anne-marie,2002,,,N
2019-11-12,144,"53,724","D-block Europe, Lil Baby",Nookie,,,N
2019-11-12,145,"53,412",Post Malone,Saint-tropez,,,N
2019-11-12,146,"53,333",Katy Perry,Harleys In Hawaii,,,N
2019-11-12,147,"53,307","Diplo, Jonas Brothers",Lonely,,,N
2019-11-12,148,"53,254",Dean Lewis,Be Alright,,,N
2019-11-12,149,"53,097",Tion Wayne,2 On 2 - Tion Wayne X Jay1,,,N
2019-11-12,150,"53,030",Noah Cyrus,July,,,N
2019-11-12,151,"52,623",Tame Impala,The Less I Know The Better,,,N
2019-11-12,152,"52,506","Internet Money, Lil Tecca, A Boogie Wit Da Hoodie",Somebody,,,N
2019-11-12,153,"52,132",James Arthur,Quite Miss Home,,,N
2019-11-12,154,"51,889",Vance Joy,Riptide,,,N
2019-11-12,155,"51,701",Ed Sheeran,Cross Me,Feat. Chance The Rapper & Pnb Rock,,N
2019-11-12,156,"51,563",Gerry Cinnamon,Belter,,,N
2019-11-12,157,"51,436",D-block Europe,Kitchen Kings,,,N
2019-11-12,158,"51,210",Gerry Cinnamon,Sometimes,,,N
2019-11-12,159,"51,087",Summer Walker,Come Thru,With Usher,,N
2019-11-12,160,"50,780",A Boogie Wit Da Hoodie,Swervin,Feat. 6ix9ine,,N
2019-11-12,161,"50,779","Cadet, Deno",Advice,,,N
2019-11-12,162,"50,755",Queen,Don't Stop Me Now - Remastered 2011,,,N
2019-11-12,163,"50,487",Post Malone,Better Now,,,N
2019-11-12,164,"50,357",Katy Perry,Never Really Over,,,N
2019-11-12,165,"50,341",Panic! At The Disco,High Hopes,,,N
2019-11-12,166,"50,321",Shawn Mendes,If I Can't Have You,,,N
2019-11-12,167,"49,827",Becky Hill,I Could Get Used To This,With Weiss,,N
2019-11-12,168,"49,798",D-block Europe,Outside,,,N
2019-11-12,169,"49,714",Stormzy,Crown,,,N
2019-11-12,170,"49,599",Gerry Cinnamon,Canter,,,N
2019-11-12,171,"49,550",Journey,Don't Stop Believin',,,N
2019-11-12,172,"49,509",Doja Cat,Candy,,,N
2019-11-12,173,"49,494",Ed Sheeran,Shape Of You,,,N
2019-11-12,174,"49,301","Hardy Caprio, One Acen",Best Life,,,N
2019-11-12,175,"49,284",Martin Garrix,Used To Love,With Dean Lewis,,N
2019-11-12,176,"48,939",Calum Scott,Dancing On My Own,,,N
2019-11-12,177,"48,611","Ti&Euml;Sto, Jonas Blue, Rita Ora",Ritual,,,N
2019-11-12,178,"48,446",Oasis,Don't Look Back In Anger - Remastered,,,N
2019-11-12,179,"48,427",Frank Ocean,Chanel,,,N
2019-11-12,180,"48,259",Fleetwood Mac,Everywhere - 2017 Remaster,,,N
2019-11-12,181,"48,137",Post Malone,I Fall Apart,,,N
2019-11-12,182,"47,992",Toto,Africa,,,N
2019-11-12,183,"47,902",Ed Sheeran,Perfect,,,N
2019-11-12,184,"47,573",Taylor Swift,You Need To Calm Down,,,N
2019-11-12,185,"47,540",Sam Smith,Dancing With A Stranger,With Normani,,N
2019-11-12,186,"47,504",Toploader,Dancing In The Moonlight,,,N
2019-11-12,187,"47,338",Jonas Blue,What I Like About You,Feat. Theresa Rex,,N
2019-11-12,188,"47,324",Michael Buble,It's Beginning To Look A Lot Like Christmas,,,Y
2019-11-12,189,"47,253",Snow Patrol,Chasing Cars,,,N
2019-11-12,190,"47,071",Lizzo,Juice,,,N
2019-11-12,191,"46,983",Ynw Melly,Murder On My Mind,,,N
2019-11-12,192,"46,927",Elton John,Rocket Man,"I Think It's Going To Be A Long, Long Time",,N
2019-11-12,193,"46,875","Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night,,,N
2019-11-12,194,"46,789",Imagine Dragons,Believer,,,N
2019-11-12,195,"46,779",Arctic Monkeys,Do I Wanna Know?,,,N
2019-11-12,196,"46,762",The Pogues,Fairytale Of New York,Feat. Kirsty Maccoll,,Y
2019-11-12,197,"46,634",Ed Sheeran,Take Me Back To London,Remix,"[Feat. Stormzy, Jaykae & Aitch]",N
2019-11-12,198,"46,201",Bazzi,I.F.L.Y.,,,N
2019-11-12,199,"45,996",Billie Eilish,All The Good Girls Go To Hell,,,N
2019-11-12,200,"45,972",Travis Scott,Goosebumps,,,N
2019-11-13,1,"596,194",Tones And I,Dance Monkey,,,N
2019-11-13,2,"424,540",Dua Lipa,Don't Start Now,,,N
2019-11-13,3,"335,986",Regard,Ride It,,,N
2019-11-13,4,"300,459",Post Malone,Circles,,,N
2019-11-13,5,"294,549",Ed Sheeran,South Of The Border,Feat. Camila Cabello & Cardi B,,N
2019-11-13,6,"263,419",J Hus,Must Be,,,N
2019-11-13,7,"257,057",Ksi,Down Like That,"Feat. Rick Ross, Lil Baby & S-x",,N
